epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5053,1.6173,2.65027,1.86359,0.44395,0.08054,0.19859,0.07013,2.05568,3.23516,2.42366,0.0676838,0.000162393,0.000162393
2,54.3608,1.51497,1.82152,1.78425,0.77678,0.34044,0.49109,0.2154,1.92395,2.58986,2.09249,0.0345171,0.00032904,0.00032904
3,78.8765,1.46687,1.56381,1.74217,0.68256,0.62079,0.68078,0.32499,1.65741,1.52406,1.85388,0.00135031,0.000495605,0.000495605
4,103.192,1.47236,1.5147,1.75413,0.77637,0.65465,0.72364,0.36336,1.64639,1.37293,1.77571,0.000499725,0.000499725,0.000499725
5,127.592,1.42998,1.43925,1.708,0.75513,0.67543,0.76374,0.40198,1.54033,1.25045,1.71658,0.000499512,0.000499512,0.000499512
6,151.489,1.4085,1.3887,1.69536,0.829,0.66103,0.76185,0.39886,1.58477,1.20028,1.74574,0.000499237,0.000499237,0.000499237
7,175.488,1.38979,1.36228,1.68618,0.7888,0.73147,0.80086,0.40795,1.6332,1.1697,1.74592,0.000498902,0.000498902,0.000498902
8,200.864,1.38577,1.32625,1.68557,0.84921,0.69042,0.81465,0.42607,1.55315,1.16289,1.7306,0.000498505,0.000498505,0.000498505
9,223.567,1.3629,1.29228,1.66034,0.82054,0.7379,0.83635,0.45171,1.51492,1.05443,1.69089,0.000498048,0.000498048,0.000498048
10,247.312,1.3862,1.30308,1.68103,0.74526,0.76067,0.83835,0.44557,1.51014,1.18159,1.66849,0.000497531,0.000497531,0.000497531
11,271.597,1.32718,1.24482,1.63349,0.83189,0.71124,0.81165,0.37654,1.81197,1.14151,1.92059,0.000496953,0.000496953,0.000496953
12,296.059,1.3529,1.25537,1.65545,0.8479,0.77885,0.85864,0.46911,1.49135,0.98801,1.65142,0.000496315,0.000496315,0.000496315
13,320.967,1.33726,1.22351,1.6412,0.79276,0.77584,0.8387,0.45557,1.55868,1.03183,1.68908,0.000495616,0.000495616,0.000495616
14,345.871,1.33585,1.21774,1.64418,0.87345,0.763,0.85948,0.4787,1.51351,0.98356,1.63988,0.000494858,0.000494858,0.000494858
15,371.413,1.31431,1.16095,1.61746,0.86111,0.76572,0.85913,0.49747,1.41119,0.95679,1.57695,0.000494039,0.000494039,0.000494039
16,395.918,1.33248,1.17444,1.62624,0.83444,0.77333,0.86124,0.45259,1.54796,1.01499,1.6721,0.000493162,0.000493162,0.000493162
17,419.676,1.29595,1.15273,1.61102,0.83805,0.75643,0.82726,0.45541,1.50869,1.00321,1.68045,0.000492224,0.000492224,0.000492224
18,444.102,1.3059,1.14968,1.61745,0.86005,0.77438,0.86241,0.48013,1.49083,0.9418,1.6254,0.000491228,0.000491228,0.000491228
19,469.019,1.28612,1.11972,1.59635,0.86123,0.81371,0.87678,0.48164,1.51665,0.93229,1.66059,0.000490173,0.000490173,0.000490173
20,493.751,1.26606,1.09799,1.58398,0.87833,0.80269,0.87557,0.48277,1.50652,0.91491,1.62688,0.000489059,0.000489059,0.000489059
21,518.171,1.28845,1.11674,1.59112,0.83966,0.80523,0.87337,0.49062,1.42748,0.90184,1.5783,0.000487886,0.000487886,0.000487886
22,543.764,1.28293,1.11592,1.60161,0.87637,0.80566,0.8781,0.49227,1.45085,0.8773,1.59287,0.000486656,0.000486656,0.000486656
23,567.812,1.27259,1.08036,1.56599,0.88074,0.79763,0.8715,0.50356,1.44041,0.93412,1.59413,0.000485368,0.000485368,0.000485368
24,591.55,1.24715,1.05334,1.55642,0.83932,0.78693,0.86633,0.50035,1.43145,0.9168,1.58008,0.000484022,0.000484022,0.000484022
25,615.279,1.25825,1.05939,1.55907,0.86141,0.80651,0.87212,0.50013,1.44917,0.88668,1.6112,0.00048262,0.00048262,0.00048262
26,639.342,1.24651,1.06231,1.55687,0.88738,0.83528,0.89475,0.49725,1.47192,0.84302,1.60618,0.00048116,0.00048116,0.00048116
27,664.159,1.26738,1.0695,1.57837,0.84461,0.79452,0.87027,0.49925,1.42906,0.92683,1.59358,0.000479644,0.000479644,0.000479644
28,689.651,1.24032,1.04028,1.55534,0.89188,0.77891,0.86607,0.49383,1.47943,0.9266,1.62884,0.000478072,0.000478072,0.000478072
29,714.066,1.24048,1.03465,1.54709,0.84752,0.8274,0.88846,0.52106,1.35267,0.85849,1.54713,0.000476445,0.000476445,0.000476445
30,738.09,1.23674,1.01517,1.53767,0.90044,0.79843,0.89164,0.48509,1.50831,0.86986,1.65084,0.000474762,0.000474762,0.000474762
31,762.093,1.2581,1.0316,1.55794,0.8769,0.82776,0.89647,0.53062,1.36442,0.83253,1.54304,0.000473024,0.000473024,0.000473024
32,785.059,1.23623,0.99861,1.53867,0.91807,0.81567,0.90605,0.53197,1.35384,0.80885,1.53228,0.000471232,0.000471232,0.000471232
33,809.771,1.23443,1.02736,1.55192,0.92637,0.82595,0.89467,0.50474,1.52016,0.82475,1.65018,0.000469386,0.000469386,0.000469386
34,835.08,1.21505,0.9831,1.53275,0.88187,0.7929,0.87586,0.50864,1.44271,0.86912,1.58969,0.000467486,0.000467486,0.000467486
35,859.012,1.21309,0.97048,1.52417,0.90994,0.82224,0.90294,0.50985,1.43897,0.82026,1.59626,0.000465534,0.000465534,0.000465534
36,883.719,1.24605,1.01792,1.55062,0.91914,0.80116,0.89151,0.53144,1.39287,0.82665,1.57112,0.000463528,0.000463528,0.000463528
37,908.178,1.21982,0.98707,1.52376,0.90016,0.81692,0.89763,0.50611,1.44066,0.80874,1.60629,0.000461471,0.000461471,0.000461471
38,932.631,1.22133,0.99737,1.54275,0.88328,0.82115,0.8875,0.52154,1.42258,0.81719,1.57769,0.000459362,0.000459362,0.000459362
39,957.105,1.19706,0.96498,1.51684,0.88787,0.82963,0.90159,0.54077,1.34118,0.79011,1.53123,0.000457202,0.000457202,0.000457202
40,981.519,1.19293,0.94729,1.51627,0.86435,0.83034,0.88832,0.5301,1.37061,0.83476,1.52561,0.000454992,0.000454992,0.000454992
41,1007.11,1.20049,0.94031,1.50592,0.93074,0.79718,0.89625,0.51499,1.46445,0.79207,1.61058,0.000452732,0.000452732,0.000452732
42,1031.54,1.19453,0.92659,1.50875,0.88937,0.83295,0.89939,0.53483,1.41024,0.78555,1.58157,0.000450422,0.000450422,0.000450422
43,1056.24,1.20752,0.94555,1.51962,0.87963,0.84,0.91468,0.548,1.36201,0.74522,1.54912,0.000448063,0.000448063,0.000448063
44,1080.98,1.19116,0.93779,1.50373,0.90834,0.8332,0.90676,0.55817,1.30825,0.77812,1.48885,0.000445657,0.000445657,0.000445657
45,1105.63,1.19053,0.9488,1.50804,0.91085,0.81549,0.89843,0.53687,1.35149,0.80135,1.52704,0.000443202,0.000443202,0.000443202
46,1130.27,1.18303,0.93583,1.49204,0.89158,0.81356,0.88736,0.53624,1.32267,0.83529,1.50694,0.0004407,0.0004407,0.0004407
47,1156.49,1.18427,0.92628,1.49925,0.85331,0.8543,0.90156,0.5383,1.34139,0.77862,1.52617,0.000438152,0.000438152,0.000438152
48,1180.83,1.15943,0.92942,1.49731,0.92086,0.82934,0.90001,0.52569,1.35028,0.75697,1.52645,0.000435559,0.000435559,0.000435559
49,1204.19,1.17699,0.93956,1.50851,0.9219,0.81935,0.89713,0.52255,1.44813,0.76484,1.61031,0.00043292,0.00043292,0.00043292
50,1228.38,1.15549,0.91669,1.4922,0.91224,0.83117,0.90464,0.55075,1.33096,0.78663,1.5184,0.000430236,0.000430236,0.000430236
51,1253.42,1.17318,0.90347,1.48234,0.92825,0.81975,0.90215,0.53546,1.38119,0.77279,1.55826,0.000427509,0.000427509,0.000427509
52,1277.77,1.16161,0.91461,1.4937,0.8903,0.8535,0.90812,0.55064,1.37669,0.75711,1.55997,0.000424738,0.000424738,0.000424738
53,1302.97,1.15202,0.9008,1.47897,0.90879,0.83636,0.90364,0.55905,1.33211,0.76837,1.52063,0.000421925,0.000421925,0.000421925
54,1327.69,1.14559,0.87754,1.45843,0.89915,0.83624,0.89244,0.52068,1.4592,0.77961,1.61286,0.000419071,0.000419071,0.000419071
55,1352.3,1.13217,0.86452,1.45967,0.9212,0.83401,0.90454,0.54048,1.36431,0.79424,1.52384,0.000416175,0.000416175,0.000416175
56,1377.18,1.14857,0.8784,1.47293,0.92889,0.83861,0.92177,0.55721,1.35549,0.72504,1.51949,0.000413238,0.000413238,0.000413238
57,1401.71,1.16235,0.889,1.4801,0.90423,0.85973,0.91647,0.55764,1.32026,0.71337,1.51633,0.000410262,0.000410262,0.000410262
58,1425.8,1.14627,0.88517,1.47755,0.93219,0.83098,0.90809,0.53374,1.40837,0.74347,1.57912,0.000407248,0.000407248,0.000407248
59,1450.5,1.15597,0.87822,1.46692,0.9129,0.86233,0.92035,0.52499,1.40798,0.74913,1.60343,0.000404194,0.000404194,0.000404194
60,1476.29,1.12143,0.84786,1.45329,0.9023,0.83883,0.91256,0.53412,1.41145,0.77408,1.58385,0.000401104,0.000401104,0.000401104
61,1501.09,1.12876,0.8695,1.45686,0.93178,0.86004,0.92375,0.5447,1.41045,0.71264,1.58898,0.000397977,0.000397977,0.000397977
62,1525.63,1.13309,0.88617,1.47996,0.90215,0.83646,0.90857,0.55209,1.31633,0.78166,1.51087,0.000394814,0.000394814,0.000394814
63,1549.51,1.12914,0.86353,1.44959,0.92268,0.84214,0.91854,0.56435,1.29695,0.71458,1.50666,0.000391616,0.000391616,0.000391616
64,1574.4,1.12797,0.85069,1.45725,0.92064,0.82032,0.90342,0.53521,1.40998,0.75646,1.60177,0.000388383,0.000388383,0.000388383
65,1597.37,1.12884,0.8556,1.44898,0.90872,0.84616,0.90462,0.55659,1.33153,0.73696,1.5358,0.000385117,0.000385117,0.000385117
66,1623.09,1.11413,0.85687,1.45699,0.91053,0.83595,0.91644,0.56162,1.29957,0.72054,1.50995,0.000381818,0.000381818,0.000381818
67,1647.42,1.11922,0.83386,1.44111,0.90208,0.85445,0.92103,0.5501,1.33277,0.72359,1.51936,0.000378488,0.000378488,0.000378488
68,1671.97,1.11945,0.83064,1.44123,0.92139,0.81587,0.91243,0.55087,1.34307,0.72642,1.53716,0.000375126,0.000375126,0.000375126
69,1695.99,1.1239,0.85129,1.45136,0.90067,0.82993,0.90172,0.52671,1.3803,0.74658,1.53266,0.000371734,0.000371734,0.000371734
70,1720.4,1.11856,0.84015,1.44567,0.8866,0.81999,0.89692,0.54513,1.32665,0.73252,1.50227,0.000368313,0.000368313,0.000368313
71,1744.5,1.11245,0.8459,1.45546,0.89859,0.87295,0.92063,0.55285,1.32864,0.69652,1.51903,0.000364863,0.000364863,0.000364863
72,1770.19,1.09141,0.82134,1.4215,0.91366,0.85666,0.9179,0.55528,1.38314,0.71353,1.58011,0.000361385,0.000361385,0.000361385
73,1794.22,1.09067,0.82201,1.42866,0.90353,0.87231,0.9252,0.56497,1.32226,0.70662,1.53635,0.00035788,0.00035788,0.00035788
74,1818.74,1.11029,0.84684,1.43975,0.90669,0.86802,0.92706,0.57193,1.3115,0.71695,1.50136,0.00035435,0.00035435,0.00035435
75,1843.26,1.09224,0.80736,1.42834,0.91469,0.87123,0.92624,0.5552,1.34923,0.69915,1.53654,0.000350794,0.000350794,0.000350794
76,1867.99,1.08898,0.8252,1.42748,0.93437,0.84304,0.9202,0.55466,1.38675,0.70965,1.5569,0.000347214,0.000347214,0.000347214
77,1892.87,1.08362,0.81965,1.4244,0.92488,0.85213,0.91837,0.562,1.34706,0.69125,1.54438,0.000343611,0.000343611,0.000343611
78,1917.54,1.08065,0.80704,1.41585,0.90796,0.86063,0.92252,0.57212,1.30259,0.67837,1.51234,0.000339985,0.000339985,0.000339985
79,1943.65,1.05748,0.79449,1.405,0.9101,0.84034,0.90992,0.54798,1.33499,0.73119,1.54039,0.000336338,0.000336338,0.000336338
80,1968.73,1.06985,0.8088,1.41296,0.87104,0.88107,0.91082,0.54945,1.32972,0.69511,1.51894,0.00033267,0.00033267,0.00033267
81,1993.38,1.08506,0.811,1.42977,0.90725,0.86488,0.92021,0.5468,1.36014,0.69987,1.55639,0.000328982,0.000328982,0.000328982
82,2017.75,1.07503,0.78989,1.41174,0.94566,0.85884,0.92407,0.56249,1.32261,0.67868,1.52918,0.000325275,0.000325275,0.000325275
83,2042.07,1.05926,0.78677,1.40729,0.90706,0.85209,0.9196,0.57086,1.31949,0.68716,1.51206,0.00032155,0.00032155,0.00032155
84,2066.65,1.07283,0.79296,1.40903,0.92626,0.83249,0.91804,0.56197,1.33248,0.68217,1.5177,0.000317809,0.000317809,0.000317809
85,2092.78,1.07202,0.78001,1.41614,0.91392,0.85678,0.91197,0.56639,1.28471,0.69271,1.50059,0.000314051,0.000314051,0.000314051
86,2117.67,1.06038,0.77793,1.41165,0.91736,0.85699,0.9251,0.56606,1.29571,0.68281,1.49727,0.000310278,0.000310278,0.000310278
87,2142.41,1.06631,0.7969,1.41597,0.93261,0.85239,0.92284,0.57105,1.28713,0.68243,1.50024,0.00030649,0.00030649,0.00030649
88,2167.17,1.05884,0.79014,1.41129,0.92566,0.85175,0.92083,0.56488,1.32867,0.68758,1.54548,0.00030269,0.00030269,0.00030269
89,2191.97,1.04767,0.76382,1.38876,0.92419,0.85952,0.91802,0.55219,1.3508,0.69012,1.54026,0.000298877,0.000298877,0.000298877
90,2216.94,1.05638,0.78032,1.39696,0.92264,0.85096,0.9176,0.56725,1.31101,0.68059,1.51526,0.000295052,0.000295052,0.000295052
91,2242.65,1.03337,0.75626,1.39533,0.91174,0.86816,0.92541,0.55911,1.31888,0.69231,1.5231,0.000291218,0.000291218,0.000291218
92,2266.46,1.05004,0.75264,1.39151,0.92449,0.86854,0.93122,0.55943,1.34754,0.66924,1.53154,0.000287373,0.000287373,0.000287373
93,2290.8,1.0555,0.77598,1.40151,0.91845,0.8643,0.9231,0.57009,1.2967,0.67555,1.51028,0.00028352,0.00028352,0.00028352
94,2315.64,1.04465,0.79219,1.39559,0.94614,0.85203,0.92218,0.56669,1.28902,0.68522,1.51558,0.000279659,0.000279659,0.000279659
95,2340.2,1.0484,0.76459,1.393,0.93456,0.85322,0.92432,0.56618,1.33229,0.66259,1.55333,0.000275792,0.000275792,0.000275792
96,2364.97,1.03375,0.762,1.38389,0.89285,0.86915,0.92501,0.56654,1.32564,0.67726,1.53668,0.000271919,0.000271919,0.000271919
97,2391.27,1.0379,0.77199,1.38757,0.90146,0.86618,0.9232,0.56588,1.31807,0.68104,1.53763,0.000268041,0.000268041,0.000268041
98,2415.68,1.02607,0.74373,1.36064,0.91434,0.87159,0.9319,0.57048,1.30002,0.66405,1.54199,0.000264159,0.000264159,0.000264159
99,2440.01,1.02724,0.73985,1.37423,0.92382,0.86604,0.92104,0.56761,1.32113,0.6685,1.56625,0.000260274,0.000260274,0.000260274
100,2464.26,1.04051,0.75807,1.39219,0.90516,0.86987,0.92512,0.56383,1.31659,0.67717,1.55271,0.000256388,0.000256388,0.000256388
